StartTime,16.02.2018 - 13:53:09.9063660
StopTime,16.02.2018 - 13:59:49.7606066
OriginLon,6.96049976348877
OriginLat,50.9389991760254
TileRadius, 1
TileWidth,0.00999999977648258
Master, 2058941.4687
Create Job-Message, 0.4852
Serialize Job-Message, 143.9906
Publish Job, 8.4859
Deserialize Result, 110.5303
Recreate Scene, 6023.4783
Trigger Garbage Collection (Master), 161.9897
Transfer, 2051628.4594
Transfer to Worker, 1653719.7077
Transfer to Master, 200.0047
Worker, 398438.2719
Deserialize JobMessage, 1602.5205
Create new Scene, 16.5002
Create Tile, 19.0261
Start OSM Query, 26769.2107
Start Procedural, 10.9919
Procedural Preparation, 13.0362
Create Terrain, 9886.8452
Mesh Preparation, 7.5349
Create Background Quad, 10.5186
Create Rivers, 5.4772
Create Ways, 310706.7527
Create Buildings, 3446.6329
Fill Mesh separating Materials, 6675.6646
Trigger Garbage Collection (Worker), 2465.6176
Procedural Done, 5.5486
Create Reply Message, 6934.2083
Tidy up Scene, 7.0014
Publish Result, 830.6523
